2;Presenter;Welcome everyone to the fiiiirst challenge!!;0;
3;Presenter;Your goal for this challenge is very simple... listen carefully, because you'll have just 80 seconds!;0;
4;Fushiko;What?!;0;
5;Presenter;Your goal is to find... the highest number of items before the time runs out.;0;
6;Presenter;What you need to find is a small item representing something we all really love. Is something we can't live without.;0;
7;Presenter;Ladies and gentlement... what you need to find are...;0;
8;Presenter;Mini bottles of Space Soda®!;0;
9;Presenter;Go go!! Time starts exactly now!;0;
10;Senso;Found you.;0;
11;Senso;There you are.;0;
12;Senso;Not very well hidden.;0;
13;Senso;Gotcha.;0;
14;Senso;Just as I thought.;0;
15;Senso;Easy.;0;
16;Senso;Try harder next time.;0;
17;Senso;Empty.;0;
18;Senso;Nothing here.;0;
19;Senso;Just dust.;0;
20;Senso;No sign.;0;
21;Senso;Guess not...;0;
22;Senso;A whole lot of nothing...;0;
23;Competitor;Leave me alone. Can’t you see I’m searching? Just go search yourself.;0;
24;Competitor;Last time they held this challenge, it was in one of these boxes. There MUST be one.;0;
25;Yuki;There are so many damn things in here, and so many bloody places to look...;0;
26;Fushiko;I'm pretty sure I saw one in here. But, God, it's so disgusting...;0;
27;Senso;I'm leaving that one to you, have fun.;0;
28;Lucy;My father often told me "when you can't find something, just get closer to the ground"!;0;
29;Presenter;Tiiime's uuup! Everyone stop searching.;0;
30;Presenter;Okay, so... the groups who are allowed to proceed to the next challenge are...;0;
31;Presenter;Groups 2, 4, 5 and 8!;0;
32;Presenter;Groups 2, 4, 5 and 7!;0;
33;Fushiko;Oh no! We lost...;0;
34;Lucy;YAY! We can proceed!!;0;
35;Presenter;The groups that can proceed please cross the door in front of you. The other groups shall sit back to their seat and they'll safely return in the Arena!;0;
36;Presenter;Congratulations to group 8! Who, despite being just 6, managed to find all the items!;0;
37;Yuki;Pfft. It was a piece of cake.;0;
38;Presenter;Okay! So now it is time for you to engage the second challenge.;0;
39;Presenter;It consists of reaching the end of this room as quickly as possible! The first 5 people to cross the finishing line will be the ones who will access the third and final challenge!;0;
40;Presenter;You'll do it on these rafts, and you will use your hands to paddle! Take one of those and go on my signal!;0;
41;Presenter;All clear?;0;
42;Yuki;No!;0;
43;Presenter;I'm glad it's all clear! Quickly, take one of the rafts!! The challenge is about to begin!;0;
44;Presenter;Ready?! GO!!;0;
45;Presenter;Aaaaand... the challenge is over!;0;
