2;Guard;You! Where you going? Why did you get inside?;0;
3;Lucy;We're descending, we need to meet someone. Confidential information, respect the protocol!;0;
4;Guard;Y-yes, s-sure... I hope is nothing too bad.;0;
5;Fushiko;Nice going, Lucy...;0;
6;Senso;We need to get down as soon as possible...;0;
7;Lucy;I hope our companions are fine...;0;
8;Senso;This place reminds me of the TSS.;0;
9;Senso;This place is not too big. We can't give up now, let's keep going.;0;
10;Lucy;I miss Fushiko and Yuki... I hope they'll be fine.;0;
11;Fushiko;It shouldn't be too hard... I think we have a good chance of succeeding.;0;
12;Fushiko;Can we slow down... please...? I can't keep up...;0;
13;Senso;I'm so sorry Fushiko... but it is time to play through the pain.;0;
14;Lucy;If there's anything else we can do to help you just let us know...;0;
15;Senso;This base is full of people. I didn't think so many people could live in such an inhospitable place.;0;
16;Lucy;I think we can definitely beat Epsilon Teams up! Don't you think?;0;
17;Senso;Yes...?;0;
18;Lucy;Wait... we do have some counterpotions... why didn't you use one on Fushiko...?;0;
19;Senso;Well... I... just decided not to. She'll be alright.;0;
20;Lucy;...;0;
21;Senso;Oh... well, it's open... Why shouldn't we get in?;0;
22;Fushiko;Right. Weird though...;0;
23;Lucy;Yeah, right.;0;
25;DTA Guard Level 7;Who's there?!;0;
26;Lucy;Remember... we can't kill them... or they'll trigger the alarm...;0;
27;Fushiko;Remember: whatever happens, we can't kill them.;0;
28;Senso;Got it.;0;
29;Senso;You're fired.;0;
30;Guard;Hey! You're not supposed to be here!;0;
31;Senso;Done. They must be guarding something... Let's continue through this corridor.;0;
32;Fushiko;I agree. Let's go check.;0;
33;Lucy;Did you hear it...? I think we're not alone...;0;
34;Senso;I can hear a lot of footsteps... We better hide somewhere.;0;
35;Senso;That one door is open... let's hide inside.;0;
36;Guard;Where's the damn switch...?;0;
37;DTA Level 10 Guard;Hey, look. There's a blond hair over here.;0;
38;Fushiko;Are they... going away...?;0;
39;Lucy;Wait... sounds like they're moving away from us...;0;
40;Senso;Apparently... Yes.;0;
41;Lucy;Oh god!;0;
42;Lucy;Who are they shooting...?!;0;
43;Guard;Threat eliminated... Hopefully everything will go according to plan.;0;
44;Other guard;Surely it will.;0;
45;Senso;Green light. We should definitely go check that room at the end of the corridor.;0;
46;Senso;I have a good feeling about it.;0;
47;Senso;Pathetic...;0;
48;Lucy;Hm?;0;
49;Fushiko;Well... if it was here, we should have seen it.;0;
50;Senso;Let's keep looking around.;0;
51;Lucy;Mmm... I don't think what we're looking for is here.;0;
52;Lucy;That's what my superiors used to tell me all the time.;0;
53;Fushiko;Trying to bypass it without connecting to the network would be waste of time, those systems are very advanced...;0;
54;Fushiko;Maybe we can try to blow up the lock with our blasters and force the doors to open, but that would surely attract the guards...;0;
55;Senso;Wait a second...;0;
56;Lucy;Mmmm... how do we open it? If Fushiko were here, she would surely be able to bypass it. Isn't she a good hacker?;0;
57;Lucy;It has an handle though. What if they forgot to lock it?;0;
58;Senso;It's worth trying.;0;
59;Lucy;Oh, emh... This is a stroke of luck!;0;
60;Fushiko;Suspicious... very suspicious...;0;
61;Lucy;Look! She's the girl whose blonde hair they found!;0;
62;Fushiko;That's shameful. You know, they're civilians, not even soldiers...;0;
63;Lucy;That was definitely too easy for them to get here, and for us too...;0;
64;Lucy;This is so weird... What if that's a trap?;0;
65;Senso;It is surely a trap.;0;
66;Fushiko;What?! And you're saying it like that?!;0;
67;Heishi;Congratulations for the sharpness.;0;
68;Senso;So, what are you going to do, stop me?;0;
69;Lucy;You'll never activate it!;0;
70;DTA Level 10 Guard;Lieutenant Heishi, once again I must agree with you. I apologize for doubting your wisdom.;0;
71;Heishi;Apologies accepted.;0;
72;Heishi;About you kids. Desert, despite being severely injured, is still alive and accurately predicted what you four... I mean... three, would have done.;0;
73;Heishi;He specifically asked me to turn you over alive, but I disagree with him. So I give you no guarantee about that, unless you gave yourselves up willingly.;0;
74;Fushiko;Don't you realize he's gone completely mad?!;0;
75;Senso;If you care about your own life, let us destroy this piece of junk. I'll let you come to mommy in one piece.;0;
76;Heishi;I have to say you have a good sense of humor, despite being in deathbed.;0;
77;Heishi;Want to show me what you got?;0;
78;Senso;Sure. Just come and get me.;0;
79;Gamon;Oh no, did you brats lose someone along the way? How unfortunate.;0;
80;Heishi;About you kids. Desert, despite being severely injured, is still alive and accurately predicted what you four... I mean... two, would have done.;0;
81;Lucy;We did it...;0;
82;Fushiko;Now is your chance!;0;
83;Senso;<i>Now is my chance...</i>;0;
84;Fushiko;<i>...If we place a bomb in the cockpit, we might be able to destroy it...</i>;0;
85;Heishi;I can't.... surrender... now...;0;
86;Heishi;Gamon... take care of them...;0;
87;Senso;Done...;0;
88;Heishi;What do you think you're doing?!;0;
89;Heishi;Disable that goddamn bomb, or I'll kill you and throw it on the ground!;0;
90;Senso;Go. You know the way.;0;
91;Senso;You need a code to deactivate it, and if the bomb detects any movement... the countdown magically goes to zero. Why don't you give it a few tries? Too bad I'm the only one knowing the code.;0;
92;Heishi;I'd cut off that head of yours, see if that helps?;0;
93;Senso;<i>Just a little sacrifice...</i>;0;
94;Heishi;What the hell?!;0;
95;Lucy;No! He can't die like that! I won't do a single step without him!;0;
96;Heishi;Gamon... take care of her...;0;
97;Heishi;Ah!;0;
98;Senso;Thank you... Lucy...;0;
99;Lucy;You're welcome!;0;
100;Heishi;Nooo!;0;
101;Gamon;And brats are escaping!;0;
102;Lucy;We gotta hurry!;0;
103;Senso;Lucy... You shouldn't have done that... You took too big of a risk helping me.;0;
104;Lucy;I... I just had to repay you... after you saved me on the TSS...;0;
105;Lucy;Now... now we're even!;0;
106;Fushiko;Guys... can't you postpone your moment of gratitude to another time?;0;
107;Lucy;Sorry...;0;
108;Senso;We're almost there. I just wonder if Yuki is still in one piece...;0;
109;Senso;We're almost there. I just wonder if Yuki and Fushiko are still in one piece.;0;
110;Senso;Damn... They're so many...;0;
111;Fushiko;Hey... We run at my three, alright?;0;
112;Fushiko;Three!;0;
113;Senso;Hey!;0;
114;???;Here! The traitors!;0;
115;Senso;Fine.;0;
116;Senso;No... Luc...;0;
117;Senso;No... Fush...;0;
118;Senso;What are these numbers...? Like 1935 and 1947?;0;
119;Lucy;Mmm...? I don't know... What does it talks about?;0;
120;Senso;Events happened in the past, apparently. Forget about it, we have no time for this.;0;
121;Fushiko;That's kind of hard to guess if you give me no context... What are these numbers related to?;0;
